id;name;japaneseTitle;romaji;coverUrl;platforms;genre;japanExclusive;releaseDate;developer;publisher;difficulty;textComplexity;description;reason
43;Tokoro's Mahjong;所さんの麻雀;Tokoro-san no Mājan;placeholder_url;Super Nintendo;Board Game;True;23-09-1994;Syscom;Vic Tokai;not-recommended;complex;Celebrity mahjong game;Complex mahjong rules with Japanese text.
44;Ghost Sweeper Mikami;GS美神;GS Mikami;placeholder_url;Super Nintendo;Action;True;23-09-1993;Natsume Co., Ltd.;Banalex;caution;simple;Action game based on manga;Some story elements in Japanese but playable gameplay.
45;SD Kidou Senshi Gundam 2;SDガンダム2;SD Gundam 2;placeholder_url;Super Nintendo;Strategy;True;23-09-1993;Tose;Angel;not-recommended;complex;Gundam strategy game;Complex mechanics with heavy Japanese text.
46;Asahi Shinbun Rensai;朝日新聞連載;Asahi Shinbun Rensai;placeholder_url;Super Nintendo;Board Game;True;22-09-1995;Varie;Varie;not-recommended;complex;Shogi game;Traditional Japanese chess with complex rules in Japanese.
47;Sailor Moon: Another Story;美少女戦士セーラームーン;Bishōjo Senshi Sērā Mūn;placeholder_url;Super Nintendo;RPG;True;22-09-1995;Arc System Works;Angel;not-recommended;complex;RPG based on Sailor Moon;Story-heavy RPG requiring Japanese knowledge.
48;Chinhai;珍配;Chinhai;placeholder_url;Super Nintendo;Board Game;True;22-09-1995;Pixel;Banpresto;not-recommended;complex;Mahjong variant;Complex tile game requiring Japanese text understanding.
49;Chō Aniki;超兄貴;Chō Aniki;placeholder_url;Super Nintendo;Action;True;22-09-1995;Bits Laboratory;NCS;playable;simple;Bizarre action game;Visual-based gameplay with minimal text needed.
50;Dragon Ball Z: Super Gokuden;ドラゴンボールZ 超悟空伝;Doragon Bōru Zetto Chō Gokūden;placeholder_url;Super Nintendo;RPG;True;22-09-1995;Tose;Bandai;not-recommended;complex;Dragon Ball RPG;Story-heavy game requiring Japanese knowledge.
51;International Superstar Soccer Deluxe;実況ワールドサッカー2;Jikkyō Wārudo Sakkā 2;placeholder_url;Super Nintendo;Sports;False;22-09-1995;Konami;Konami;playable;simple;Soccer simulation;Sports game with intuitive controls and minimal text.
52;Jungle Strike;ジャングルストライク;Janguru Sutoraiku;placeholder_url;Super Nintendo;Action;False;22-09-1995;Gremlin Interactive;Electronic Arts;playable;simple;Combat helicopter action;Action-focused gameplay with minimal text needed.
53;Shin Shougi Club;新将棋倶楽部;Shin Shōgi Kurabu;placeholder_url;Super Nintendo;Board Game;True;22-09-1995;Natsu System;Hect;not-recommended;complex;Shogi game;Traditional Japanese chess requiring language knowledge.
54;Shin Togenkyo;新桃源郷;Shin Tōgenkyō;placeholder_url;Super Nintendo;RPG;True;22-09-1995;Unknown;Banpresto;not-recommended;complex;Fantasy RPG;Story-heavy game with complex Japanese text.
55;Hanke Hanafuda;はんけハナフダ;Hanke Hanafuda;placeholder_url;Super Nintendo;Board Game;True;22-09-1994;Unknown;Imagineer;not-recommended;complex;Traditional card game;Requires knowledge of hanafuda rules and Japanese text.
56;Libble Rabble;リブルラブル;Riburu Raburu;placeholder_url;Super Nintendo;Puzzle;False;22-09-1994;Namco;Namco;playable;simple;Action puzzle game;Visual-based puzzle gameplay with minimal text.
57;Nakajima Satoru F-1 Hero '94;中島悟F1ヒーロー'94;Nakajima Satoru F1 Hīrō '94;placeholder_url;Super Nintendo;Racing;True;22-09-1994;Unknown;Varie;playable;simple;F1 racing game;Racing gameplay with minimal text requirements.
58;Samurai Shodown;サムライスピリッツ;Samurai Supirittsu;placeholder_url;Super Nintendo;Fighting;False;22-09-1994;Takara;Takara;playable;simple;Fighting game;Combat-focused gameplay with minimal text needed.
59;Super Formation Soccer 94;スーパーフォーメーションサッカー94;Sūpā Fōmēshon Sakkā 94;placeholder_url;Super Nintendo;Sports;True;22-09-1994;Human Entertainment;Human Entertainment;playable;simple;Soccer simulation;Sports game with intuitive controls.
60;TNN Bass Tournament;TNNバストーナメント;TNN Basu Tōnamento;placeholder_url;Super Nintendo;Sports;False;22-09-1994;American Softworks;American Softworks;playable;simple;Fishing game;Simple mechanics with minimal text required.
61;Wizap!;ウィザップ!;Wizappu!;placeholder_url;Super Nintendo;Action;True;22-09-1994;Pop House;ASCII Entertainment;playable;simple;Action shooting game;Visual-based gameplay with minimal text needed.
62;Harukanaru Augusta 2;はるかなるオーガスタ2;Harukanaru Ōgasuta 2;placeholder_url;Super Nintendo;Sports;True;22-09-1993;T&E Soft;T&E Soft;caution;simple;Golf simulation;Menu navigation in Japanese but gameplay is visual.
63;Kirby's Dream Course;カービィボウル;Kābī Bōru;placeholder_url;Super Nintendo;Puzzle;False;21-09-1994;HAL Laboratory;Nintendo;playable;simple;Kirby-themed golf puzzle;Intuitive gameplay with minimal text required.
64;Magical Drop 2;マジカルドロップ2;Majikaru Doroppu 2;placeholder_url;Super Nintendo;Puzzle;True;20-09-1996;Data East;Data East;playable;simple;Puzzle game;Visual-based puzzle mechanics with minimal text.
65;Wizardry Gaiden IV;ウィザードリィ外伝IV;Wizādorī Gaiden IV;placeholder_url;Super Nintendo;RPG;True;20-09-1996;Access;ASCII Entertainment;not-recommended;complex;Dungeon crawler RPG;Complex RPG systems requiring Japanese knowledge.
66;Dezaemon;デザエモン;Dezaemon;placeholder_url;Super Nintendo;Creation Tool;True;20-09-1994;Athena;Athena;not-recommended;complex;Shoot 'em up creation tool;Complex menus and instructions in Japanese.
67;World League Soccer;ワールドリーグサッカー;Wārudo Rīgu Sakkā;placeholder_url;Super Nintendo;Sports;False;20-09-1991;Anco;Imagineer;playable;simple;Soccer simulation;Sports game with intuitive controls.
68;Battle Robot Retsuden;バトルロボット列伝;Batoru Robotto Retsuden;placeholder_url;Super Nintendo;Fighting;True;19-09-1995;Winkysoft;Banpresto;playable;simple;Robot fighting game;Combat-focused with minimal text needed.
69;Sengoku Denshou;戦国伝承;Sengoku Denshō;placeholder_url;Super Nintendo;Fighting;False;19-09-1993;Unknown;Data East;playable;simple;Fighting game;Combat-focused with minimal text required.
70;Torneko no Daibōken;トルネコの大冒険;Toruneko no Daibōken;placeholder_url;Super Nintendo;RPG;True;19-09-1993;Chunsoft;Chunsoft;not-recommended;complex;Dragon Quest spinoff RPG;Story and menu-heavy requiring Japanese knowledge.
71;Mega Man & Bass;ロックマン&フォルテ;Rokkuman & Forute;placeholder_url;Super Nintendo;Action;True;24-04-1998;Capcom;Capcom;playable;simple;Action platformer;Classic Mega Man gameplay with minimal text needed.
72;Goal!;スーパーゴール!;Sūpā Gōru!;placeholder_url;Super Nintendo;Sports;False;24-04-1992;Tose;Jaleco;playable;simple;Soccer game;Sports-based gameplay with intuitive controls.
73;Hercules no Eikou III;ヘラクレスの栄光III;Herakuresu no Eikō III;placeholder_url;Super Nintendo;RPG;True;24-04-1992;Data East;Data East;not-recommended;complex;Mythology-based RPG;Story-heavy RPG requiring Japanese knowledge.
74;WWF Super WrestleMania;WWFスーパーレッスルマニア;WWF Sūpā Ressurumania;placeholder_url;Super Nintendo;Sports;False;24-04-1992;Sculptured Software;Acclaim Entertainment;playable;simple;Wrestling game;Action-based gameplay with minimal text needed.
75;The 7th Saga;エルナード;Erunaado;placeholder_url;Super Nintendo;RPG;False;23-04-1993;Produce;Enix;caution;complex;RPG with unique battle system;Complex RPG but with English release available.
76;Operation Logic Bomb;イカリの要塞;Ikari no Yōsai;placeholder_url;Super Nintendo;Action;False;23-04-1993;Jaleco;Jaleco;playable;simple;Top-down action game;Action-focused gameplay with minimal text.
77;Ryuukihei Dan Danzarubu;竜騎兵団ダンザルブ;Ryūkihei Dan Danzarubu;placeholder_url;Super Nintendo;Action;True;23-04-1993;Pandora Box;Yutaka;caution;simple;Action game;Some menu navigation in Japanese but gameplay is visual.
78;F-1 Grand Prix Part III;F-1グランプリ Part III;F-1 Guran Puri Part III;placeholder_url;Super Nintendo;Racing;True;22-04-1994;Video System;Video System;playable;simple;F1 racing game;Racing gameplay with minimal text requirements.
79;Kidō Keisatsu Patlabor;機動警察パトレイバー;Kidō Keisatsu Patorebā;placeholder_url;Super Nintendo;Action;True;22-04-1994;Interbec;BEC;caution;simple;Mecha action game;Some story elements in Japanese but playable gameplay.
80;Marchen Adventure Cotton 100%;マーヘンアドベンチャー コットン100%;Māhen Adobenchā Kotton 100%;placeholder_url;Super Nintendo;Action;True;22-04-1994;Success;Datam Polystar;playable;simple;Side-scrolling shooter;Action-focused gameplay with minimal text needed.
81;Mahoujin Guru Guru;まほうじんグルグル;Mahōjin Guruguru;placeholder_url;Super Nintendo;RPG;True;21-04-1995;Tam Tam;Enix;not-recommended;complex;RPG based on anime series;Story-heavy game requiring Japanese knowledge.
82;Marmalade Boy;ママレード・ボーイ;Mamarēdo Bōi;placeholder_url;Super Nintendo;Visual Novel;True;21-04-1995;Kuusoukagaku;Bandai;not-recommended;complex;Romance visual novel;Heavy story elements requiring Japanese language knowledge.
83;Natsuki Crisis Battle;なつきクライシスバトル;Natsuki Kuraishisu Batoru;placeholder_url;Super Nintendo;Fighting;True;21-04-1995;Tose;Angel;playable;simple;Fighting game;Combat-focused with minimal text needed.
84;Rejoice: Aretha Ōkoku no Kanata;リジョイス;Rijoisu;placeholder_url;Super Nintendo;RPG;True;21-04-1995;Japan Art Media;Yanoman;not-recommended;complex;Fantasy RPG;Complex story and systems requiring Japanese knowledge.
85;Shin SD Sengokuden;新SDせんごくでん;Shin SD Sengokuden;placeholder_url;Super Nintendo;Strategy;True;21-04-1995;BEC;BEC;not-recommended;complex;Strategy game;Complex mechanics with heavy Japanese text.
86;Shin Seikoku: La Wares;新聖刻;Shin Seikoku;placeholder_url;Super Nintendo;RPG;True;21-04-1995;J-Force;Yutaka;not-recommended;complex;RPG adventure;Story-heavy game requiring Japanese knowledge.
87;Super Real Mahjong PV;スーパーリアル麻雀PV;Sūpā Riaru Mājan PV;placeholder_url;Super Nintendo;Board Game;True;21-04-1995;SETA;SETA;not-recommended;complex;Mahjong game;Requires knowledge of mahjong rules and Japanese text.
88;Super Trump Collection;スーパートランプコレクション;Sūpā Toranpu Korekushon;placeholder_url;Super Nintendo;Board Game;True;21-04-1995;Bottom Up;Bottom Up;not-recommended;complex;Card game collection;Complex card games requiring Japanese knowledge.
89;Tactical Soccer;タクティカルサッカー;Takutikaru Sakkā;placeholder_url;Super Nintendo;Sports;True;21-04-1995;Electronic Arts Victor;Electronic Arts Victor;playable;simple;Soccer simulation;Sports game with intuitive controls.
90;Musya;武者;Musha;placeholder_url;Super Nintendo;Action;False;21-04-1992;Jorudan;SETA;playable;simple;Action platformer;Action-focused gameplay with minimal text needed.
91;Final Fantasy VI;ファイナルファンタジーVI;Fainaru Fantajī VI;placeholder_url;Super Nintendo;RPG;False;02-04-1994;Square;Square;caution;complex;Epic RPG;Complex RPG but with English release available.
92;Aerobiz Supersonic;エアーマネジメントII;Eā Manejimento II;placeholder_url;Super Nintendo;Simulation;False;02-04-1993;Koei;Koei;caution;complex;Airline management sim;Complex simulation but with English release available.
93;Horai Gakuen no Bouken!;蓬莱学園の冒険!;Hōrai Gakuen no Bōken!;placeholder_url;Super Nintendo;RPG;True;19-04-1996;Dynamite;J-Wing;not-recommended;complex;School-based RPG;Story-heavy game requiring Japanese knowledge.
94;Pro Mahjong Tsuwamono;プロ麻雀士;Puro Mājan Tsuwamono;placeholder_url;Super Nintendo;Board Game;True;18-04-1997;Culture Brain;Culture Brain;not-recommended;complex;Professional mahjong;Complex mahjong rules with Japanese text.
95;Sprinter Monogatari;スプリンター物語;Supurintā Monogatari;placeholder_url;Super Nintendo;Sports;True;17-04-1995;Video and Audio Project;Video and Audio Project;caution;simple;Track and field game;Menu navigation in Japanese but gameplay is visual.
96;Dual Orb;デュアルオーブ;Dyuaru Ōbu;placeholder_url;Super Nintendo;RPG;True;16-04-1993;I'MAX;I'MAX;not-recommended;complex;Fantasy RPG;Story-heavy RPG requiring Japanese knowledge.
97;The Mahjong Touhaiden;麻雀闘牌伝;Mājan Tōhaiden;placeholder_url;Super Nintendo;Board Game;True;16-04-1993;Khaos;Video System;not-recommended;complex;Mahjong game;Complex mahjong rules with Japanese text.
98;Pink Goes to Hollywood;ピンクパンサー;Pinku Pansā;placeholder_url;Super Nintendo;Platform;False;15-04-1994;Manley & Associates;TecMagic;playable;simple;Platform game;Simple platforming with minimal text needed.
99;Rokudenashi Blues;ろくでなしBLUES;Rokudenashi Burūsu;placeholder_url;Super Nintendo;Fighting;True;15-04-1994;Tose;Bandai;playable;simple;Fighting game based on manga;Combat-focused with minimal text needed.
100;Yume Meikyuu;夢迷宮;Yume Meikyū;placeholder_url;Super Nintendo;RPG;True;15-04-1994;Axes Art Amuse;Hect;not-recommended;complex;Dream-themed RPG;Story-heavy game requiring Japanese knowledge.
101;Puzzle'n Desu!;パズルんです!;Pazurun Desu!;placeholder_url;Super Nintendo;Puzzle;True;14-04-1995;Nichibutsu;Nichibutsu;playable;simple;Puzzle game;Visual-based puzzle mechanics with minimal text.
102;Res Arcana;レスアルカーナ;Resu Arukāna;placeholder_url;Super Nintendo;RPG;True;14-04-1995;Marionette;Coconuts Japan;not-recommended;complex;Fortune-telling RPG;Complex systems requiring Japanese knowledge.
103;Mahoujin Guru Guru 2;まほうじんグルグル2;Mahōjin Guruguru 2;placeholder_url;Super Nintendo;RPG;True;12-04-1996;Tam Tam;Enix;not-recommended;complex;Anime-based RPG sequel;Story-heavy game requiring Japanese knowledge.
104;Ongaku Tsukuuru;音楽つくる;Ongaku Tsukuru;placeholder_url;Super Nintendo;Creation Tool;True;12-04-1996;Success;ASCII Entertainment;not-recommended;complex;Music creation tool;Complex interface requiring Japanese knowledge.
105;True Golf Classics;ペブルビーチの波濤;Peburu Bīchi no Hatō;placeholder_url;Super Nintendo;Sports;False;10-04-1992;T&E Soft;T&E Soft;playable;simple;Golf simulation;Sports game with intuitive controls.
106;Picross NP Vol. 7;ピクロスNP Vol. 7;Pikurosu NP Vol. 7;placeholder_url;Super Nintendo;Puzzle;True;01-04-2000;Jupiter;Nintendo;playable;simple;Picture crossword puzzle;Visual puzzle with minimal text needed.
107;Picross NP Vol. 1;ピクロスNP Vol. 1;Pikurosu NP Vol. 1;placeholder_url;Super Nintendo;Puzzle;True;01-04-1999;Jupiter;Nintendo;playable;simple;Picture crossword puzzle;Visual puzzle with minimal text needed.
108;Famicom Tantei Club Part II;ファミコン探偵倶楽部 Part II;Famikon Tantei Kurabu Part II;placeholder_url;Super Nintendo;Adventure;True;01-04-1998;Nintendo R&D1;Nintendo;not-recommended;complex;Detective adventure game;Heavy text-based gameplay requiring Japanese knowledge.
109;Lady Stalker;レディストーカー;Redi Sutōkā;placeholder_url;Super Nintendo;RPG;True;01-04-1995;Climax Entertainment;Taito;not-recommended;complex;Action RPG;Story and menu-heavy requiring Japanese knowledge.
110;Super Double Yakuman;スーパーダブル役満;Sūpā Daburu Yakuman;placeholder_url;Super Nintendo;Board Game;True;01-04-1994;VAP;VAP;not-recommended;complex;Mahjong game;Complex mahjong rules with Japanese text.
111;Super Indy Champ;スーパーインディチャンプ;Sūpā Indi Chanpu;placeholder_url;Super Nintendo;Racing;True;01-04-1994;Opensystem;Forum;playable;simple;Racing game;Racing gameplay with minimal text requirements.
112;Tiny Toon Adventures: Wacky Sports;タイニートゥーン どたばただいうんどうかい;Tainī Tūn Dotabata Daiundōkai;placeholder_url;Super Nintendo;Sports;False;30-09-1994;Konami;Konami;playable;simple;Sports mini-games collection;Mini-games are visually intuitive with minimal text required.
113;Gurume Sentai Barayarō;グルメ戦隊バラヤロー;Gurume Sentai Barayarō;placeholder_url;Super Nintendo;Action;True;29-09-1995;Fupac Winds;Virgin Interactive Entertainment;playable;simple;Food-themed action game;Action-focused gameplay with minimal text needed.
114;Heian Fuuunden;平安風雲伝;Heian Fuuunden;placeholder_url;Super Nintendo;Action;True;29-09-1995;Natsume Co., Ltd.;KSS;caution;simple;Historical action game;Some story elements in Japanese but playable gameplay.
115;Heiwa Pachinko World 2;平和パチンコワールド2;Heiwa Pachinko Wārudo 2;placeholder_url;Super Nintendo;Simulation;True;29-09-1995;Unknown;Shouei;not-recommended;complex;Pachinko simulation;Complex game mechanics requiring Japanese knowledge.
116;Hyper Battle Game: Zen Nihon GT Senshuken;ハイパーバトルゲーム 全日本GT選手権;Haipā Batoru Gēmu: Zen Nihon GT Senshuken;placeholder_url;Super Nintendo;Racing;True;29-09-1995;C.P. Brain;Banpresto;playable;simple;GT racing game;Racing gameplay with minimal text requirements.
117;Joushou Mahjong Tenpai;上昇麻雀 天牌;Jōshō Mājan Tenpai;placeholder_url;Super Nintendo;Board Game;True;29-09-1995;Game Arts;Enix;not-recommended;complex;Mahjong game;Requires knowledge of mahjong rules and Japanese text.
118;Nomark Baku Haitou;ノーマーク爆配当;Nōmāku Baku Haitō;placeholder_url;Super Nintendo;Simulation;True;29-09-1995;Unknown;Angel;not-recommended;complex;Gambling simulation;Complex betting mechanics requiring Japanese knowledge.
119;Verne World;バーンワールド;Bān Wārudo;placeholder_url;Super Nintendo;Adventure;True;29-09-1995;Dual;Banpresto;not-recommended;complex;Adventure game;Story-heavy game requiring Japanese text comprehension.
120;Yamato Takeru;ヤマトタケル;Yamato Takeru;placeholder_url;Super Nintendo;Action;True;29-09-1995;Multimedia Intelligence Transfer;Toho;caution;simple;Mythological action game;Some story elements in Japanese but playable gameplay.
121;Parlor! Mini 3;パーラー!ミニ3;Pārā! Mini 3;placeholder_url;Super Nintendo;Simulation;True;27-09-1996;Unknown;Nippon Telenet;not-recommended;complex;Pachinko simulation;Complex game systems requiring Japanese knowledge.
